,species,year,population,global_summer,global_winter,annual_catch,Weddell_ice_area_annual,Indian_ice_area_annual,Pacific_ice_area_annual,Ross_ice_area_annual,Bell_Amu_ice_area_annual,Ant_ice_area_annual
0,gentoo penguin,1985,2075.6,0.04,0.1,16539,3250256.66667,1439631.41667,775637.5,2282135.41667,1075320.83333,8822981.66667
1,gentoo penguin,1986,1488.77777778,0.27,0.11,372481,3068173.83333,1229924.08333,695730.416667,1969453.91667,1300149.66667,8263431.66667
2,gentoo penguin,1987,582.3,0.32,0.36,392257,3355765.33333,1240462.58333,691457.5,2147214.41667,1129890.66667,8564790.58333
3,gentoo penguin,1988,1703.15384615,0.49,0.41,416848,3450167.25,1311453.5,802171.916667,2254176.83333,874022.25,8691992.08333
4,gentoo penguin,1989,1329.25,0.27,0.28,354766,3209330.08333,1633312.33333,695329.5,2182799.33333,952738.166667,8673509.41667
5,gentoo penguin,1990,1483.42857143,0.4,0.37,362866,3158931.83333,1354987.33333,844620.583333,2169606.25,1128783.16667,8656928.83333
6,gentoo penguin,1991,1611.5,0.43,0.46,340715,3676630.08333,1239163.16667,784272.75,1990783.75,977230.5,8668080.58333
7,gentoo penguin,1992,1512.77777778,0.39,0.15,229435,3637832.16667,1332473.41667,779234.166667,1936387.41667,833245.166667,8519172.25
8,gentoo penguin,1993,2203.5,0.32,0.22,60531,3309210.41667,1491739.33333,844691.916667,1985482.41667,975706.25,8606830.41667
9,gentoo penguin,1994,1659.30769231,0.15,0.31,85509,3622881.75,1340674.41667,902189.5,2130464.83333,1029426.83333,9025637.66667
10,gentoo penguin,1995,951.357142857,0.55,0.45,137806,3539786.75,1337144.08333,847101.25,2108690.75,1030082.0,8862804.58333
11,gentoo penguin,1996,1041.72222222,0.34,0.36,89522,3291909.66667,1214001.75,858372.333333,2390201.91667,1057995.0,8812480.75
12,gentoo penguin,1997,1134.73333333,0.36,0.43,75785,3468406.83333,1284422.83333,864456.0,2079774.5,953667.5,8650728.0
13,gentoo penguin,1998,1452.16666667,0.69,0.7,88764,3155857.0,1412822.66667,879110.833333,2459750.25,900424.333333,8807964.83333
14,gentoo penguin,1999,1402.82352941,0.56,0.35,101114,2983213.91667,1442144.0,914700.333333,2488713.0,995021.5,8823792.83333
15,gentoo penguin,2000,1664.33333333,0.41,0.41,116076,3423707.16667,1407108.83333,816740.583333,2285208.83333,1055553.0,8988318.5
16,gentoo penguin,2001,1294.53333333,0.38,0.54,101873,3282305.58333,1382238.33333,803362.916667,2256355.0,993270.75,8717532.66667
17,gentoo penguin,2002,1648.85714286,0.69,0.56,126851,3468497.83333,1275919.25,692193.416667,2105039.66667,956487.083333,8498137.25
18,gentoo penguin,2003,1776.14285714,0.57,0.56,116921,3703252.33333,1319223.91667,879137.916667,2208428.25,950814.166667,9060856.5
19,gentoo penguin,2004,1634.81818182,0.68,0.37,118107,3597780.58333,1503175.5,745520.916667,2104595.58333,1091190.75,9042263.33333
20,gentoo penguin,2005,1551.31034483,0.59,0.63,129023,3380560.08333,1376629.83333,889749.583333,2119136.5,981572.5,8747648.66667
21,gentoo penguin,2006,1023.94444444,0.63,0.61,107576,3288076.08333,1559042.33333,835304.416667,2109598.25,869788.5,8661809.58333
22,gentoo penguin,2007,1460.40740741,0.79,0.58,104996,3611007.0,1351126.0,811759.75,2383718.08333,784583.75,8942194.41667
23,gentoo penguin,2008,1140.25757576,0.34,0.49,155221,3647446.83333,1479856.08333,851685.0,2438677.58333,856320.25,9273985.75
24,gentoo penguin,2009,1320.07142857,0.54,0.67,126501,3538873.25,1458077.25,792454.416667,2363609.41667,997200.416667,9150215.0
25,gentoo penguin,2010,1275.96875,0.72,0.61,214072,3339438.66667,1670129.91667,760276.5,2303219.58333,1045218.75,9118283.66667
26,gentoo penguin,2011,1505.30612245,0.48,0.66,189578,3336496.66667,1397703.5,854209.333333,2085931.66667,1011163.91667,8685505.08333
27,gentoo penguin,2012,1197.80434783,0.48,0.59,149914,3667152.75,1442166.25,922174.0,2157976.33333,1010265.66667,9199735.16667
